                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.136,                  2.046,                 1.4572,                0.55016,                0.47843,                0.49657,                  0.309,                 1.2919,                 1.7851,                 1.6899,             0.00055476,             0.00055476,             0.00055476
                      2,                 1.2191,                 1.6056,                 1.5063,                0.51386,                0.51701,                0.49123,                0.27423,                 1.5141,                 1.7256,                 1.8995,              0.0010371,              0.0010371,              0.0010371
                      3,                 1.2157,                 1.4971,                 1.4936,                0.58569,                0.60313,                0.61357,                0.41696,                 1.1504,                 1.3999,                 1.5628,              0.0014462,              0.0014462,              0.0014462
                      4,                 1.1455,                  1.362,                 1.4403,                0.52779,                0.61882,                0.61926,                0.43006,                  1.085,                 1.3467,                 1.5095,              0.0013369,              0.0013369,              0.0013369
                      5,                 1.0816,                 1.2775,                 1.3959,                0.70555,                0.65146,                0.72098,                0.51117,                 1.0326,                 1.0747,                 1.4496,              0.0013369,              0.0013369,              0.0013369
                      6,                0.92675,                0.99964,                 1.3489,                0.69181,                0.67424,                0.72592,                0.55733,                0.86441,                  1.055,                 1.3001,              0.0012269,              0.0012269,              0.0012269
                      7,                0.83285,                 0.8619,                 1.2674,                0.77693,                0.71455,                0.80194,                 0.6148,                0.84056,                0.87671,                 1.2708,              0.0011169,              0.0011169,              0.0011169
                      8,                0.78278,                0.76187,                 1.2177,                0.81704,                0.80996,                0.87183,                0.69467,                0.74199,                  0.697,                 1.1692,              0.0010069,              0.0010069,              0.0010069
                      9,                0.71855,                0.67053,                 1.1645,                0.84702,                 0.8302,                0.88364,                0.72997,                0.69633,                 0.6197,                  1.126,             0.00089685,             0.00089685,             0.00089685
                     10,                0.67973,                0.60821,                 1.1308,                0.90787,                0.84795,                0.92912,                0.76735,                0.66923,                0.54544,                 1.1078,             0.00078682,             0.00078682,             0.00078682
                     11,                0.64084,                0.54952,                 1.1021,                0.89828,                0.89181,                0.94381,                0.80688,                0.59256,                0.46735,                 1.0371,              0.0006768,              0.0006768,              0.0006768
                     12,                0.60174,                0.49316,                 1.0675,                0.94681,                0.89433,                0.95062,                0.83466,                0.54588,                0.41235,                0.99645,             0.00056678,             0.00056678,             0.00056678
                     13,                0.55949,                0.44339,                 1.0308,                0.93438,                0.90718,                0.95678,                0.84396,                0.52111,                0.40142,                0.98408,             0.00045676,             0.00045676,             0.00045676
                     14,                0.52807,                0.39685,                 1.0118,                0.96564,                0.92523,                0.96939,                0.85949,                 0.5064,                0.35841,                 0.9697,             0.00034674,             0.00034674,             0.00034674
                     15,                0.49306,                0.35741,                0.98115,                0.97298,                0.93743,                0.97268,                0.87797,                0.47876,                0.31611,                0.94914,             0.00023671,             0.00023671,             0.00023671
